RegionID,RegionName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
3101,Los Angeles County,1153112.0,1162570.0,1171699.0,1179615.0,1182173.0,1183746.0,1193130.0,1206653.0,1221427.0,1231945.0,1241930.0,1251102.0
2841,San Diego County,952309.0,957636.0,963754.0,968051.0,973721.0,977559.0,983139.0,992384.0,1006359.0,1021971.0,1037195.0,1052488.0
1286,Orange County,1129270.0,1135010.0,1141221.0,1145368.0,1146498.0,1147646.0,1152470.0,1162880.0,1173088.0,1184109.0,1197259.0,1212974.0
2832,Riverside County,547368.0,549109.0,550036.0,552614.0,556149.0,559748.0,563896.0,569666.0,576885.0,583957.0,591904.0,599083.0
3250,San Bernardino County,532718.0,534705.0,537604.0,541190.0,542622.0,545192.0,549594.0,556203.0,562863.0,569345.0,576388.0,584850.0
3136,Santa Clara County,1921389.0,1942440.0,1962824.0,1972035.0,1980131.0,1994303.0,2017229.0,2054775.0,2084866.0,2120395.0,2147682.0,2179636.0
1510,Alameda County,1308121.0,1318618.0,1324009.0,1323964.0,1321396.0,1319971.0,1325263.0,1339352.0,1354433.0,1371756.0,1389495.0,1402981.0
3017,Sacramento County,545705.0,548917.0,553410.0,556764.0,558630.0,559677.0,563592.0,570134.0,578039.0,586369.0,593471.0,600832.0
3159,Contra Costa County,1333678.0,1333827.0,1337492.0,1345163.0,1345941.0,1347692.0,1357094.0,1377133.0,1399928.0,1415912.0,1428993.0,1441108.0
1018,Fresno County,388007.0,388763.0,390488.0,392987.0,395154.0,396359.0,398889.0,403178.0,409186.0,414073.0,418994.0,424820.0
204,Kern County,324001.0,324347.0,326503.0,328951.0,330491.0,332023.0,335153.0,339012.0,343437.0,347453.0,352290.0,358281.0
2061,Ventura County,891996.0,894654.0,896066.0,898410.0,901754.0,905630.0,911758.0,918077.0,926833.0,933893.0,942874.0,949654.0
3227,San Francisco County,2116655.0,2122440.0,2120597.0,2122360.0,2112767.0,2099953.0,2090458.0,2091452.0,2094194.0,2079663.0,2064533.0,2044311.0
2842,San Mateo County,2299841.0,2307258.0,2321444.0,2318561.0,2303108.0,2292847.0,2293009.0,2313334.0,2321305.0,2344876.0,2363014.0,2391393.0
3134,San Joaquin County,527828.0,530487.0,532268.0,535772.0,537748.0,539078.0,543757.0,549542.0,558854.0,566773.0,576263.0,585975.0
3033,Stanislaus County,444182.0,447111.0,449615.0,451027.0,454571.0,457716.0,463318.0,467440.0,473048.0,477287.0,482546.0,488276.0
1396,Sonoma County,983260.0,991136.0,993652.0,992540.0,989417.0,986515.0,988441.0,996153.0,1011100.0,1026170.0,1044120.0,1059349.0
1442,Tulare County,321757.0,325065.0,327058.0,329620.0,331633.0,334483.0,339184.0,343685.0,347924.0,351222.0,356534.0,361843.0
