city,county_name,lat,lng
Rocklin,Placer,38.8075,-121.2488
South San Francisco,San Mateo,37.6536,-122.4197
Yorba Linda,Orange,33.8890,-117.7714
Petaluma,Sonoma,38.2423,-122.6267
Redondo Beach,Los Angeles,33.8574,-118.3766
Laguna Niguel,Orange,33.5275,-117.7050
Florence-Graham,Los Angeles,33.9682,-118.2447
Tulare,Tulare,36.1996,-119.3400
Palo Alto,Santa Clara,37.3913,-122.1468
Dublin,Alameda,37.7161,-121.8963
San Clemente,Orange,33.4498,-117.6103
Brentwood,Contra Costa,37.9355,-121.7191
Carmichael,Sacramento,38.6337,-121.3230
Eastvale,Riverside,33.9617,-117.5802
Castro Valley,Alameda,37.7091,-122.0631
Encinitas,San Diego,33.0490,-117.2613
San Luis Obispo,San Luis Obispo,35.2669,-120.6691
Pico Rivera,Los Angeles,33.9902,-118.0888
Montebello,Los Angeles,34.0155,-118.1108
National City,San Diego,32.6654,-117.0983
Woodland,Yolo,38.6712,-121.7500
La Habra,Orange,33.9278,-117.9513
South Whittier,Los Angeles,33.9336,-118.0311
Monterey Park,Los Angeles,34.0497,-118.1326
Gardena,Los Angeles,33.8944,-118.3073
Cupertino,Santa Clara,37.3168,-122.0465
La Mesa,San Diego,32.7703,-117.0204
San Rafael,Marin,37.9905,-122.5222
Santee,San Diego,32.8554,-116.9851
Arcadia,Los Angeles,34.1342,-118.0373
Huntington Park,Los Angeles,33.9800,-118.2167
Diamond Bar,Los Angeles,33.9991,-117.8161
Novato,Marin,38.0920,-122.5576
Highland,San Bernardino,34.1113,-117.1654
Fountain Valley,Orange,33.7105,-117.9514
Hacienda Heights,Los Angeles,33.9970,-117.9728
Cathedral City,Riverside,33.8363,-116.4642
Delano,Kern,35.7670,-119.2637
Colton,San Bernardino,34.0538,-117.3254
Arroyo Grande,San Luis Obispo,35.1241,-120.5845
Rosemead,Los Angeles,34.0689,-118.0823
Paramount,Los Angeles,33.8976,-118.1652
Yucaipa,San Bernardino,34.0336,-117.0429
West Sacramento,Yolo,38.5557,-121.5504
Palm Desert,Riverside,33.7378,-116.3695
Lompoc,Santa Barbara,34.6618,-120.4714
Glendora,Los Angeles,34.1449,-117.8468
Placentia,Orange,33.8807,-117.8553
Beaumont,Riverside,33.9076,-116.9766
Aliso Viejo,Orange,33.5792,-117.7289
Rowland Heights,Los Angeles,33.9716,-117.8911
Azusa,Los Angeles,34.1386,-117.9124
Cerritos,Los Angeles,33.8677,-118.0686
Oroville,Butte,39.4999,-121.5634
Poway,San Diego,32.9871,-117.0201
San Jacinto,Riverside,33.7970,-116.9916
Newark,Alameda,37.5204,-122.0312
Reedley,Fresno,36.5987,-119.4473
Cypress,Orange,33.8171,-118.0386
Hollister,San Benito,36.8563,-121.3981
Ceres,Stanislaus,37.5953,-120.9625
Palm Springs,Riverside,33.8017,-116.5382
Antelope,Sacramento,38.7153,-121.3610
Lincoln,Placer,38.8759,-121.2916
La Mirada,Los Angeles,33.9025,-118.0093
